tweet,sarcastic,rephrase,dialect
برضك هنتجوز تاني من بتوع لبنان هات اربعه يبني من بيروت,1,بنات لبنان قمرات لازم أتجوز منهم ,nile
وعرفت ازاى انك فقدت الشغف مابقاش عايز اجيب السياره الراقصة,1,مابقاش فى حاجه بقت يتلفت انتباهى,nile
فاكر نفسك عبقرى,1,أنت مبتفهمش,nile
قال يعنى الريح حتبقه نسمة لو الشجر ينحنى,1,قال يعنى حتتحسن الأمور لما نخضع لها,nile
مع احترامى لكل انواع الكافيين ومشتقاته بس مافيش حاجة بتسهرنى زى خيبتى,1,والله حتى لو شربت عشرين فنجان قهوة برده بسهر ويقلق وبفكر فى حياتى البايظه,nile
صبح على اى رجوله ومسي على كل الناس,1,انه بيسلم ويقدر اى راجل بيقف معاه,nile
"مايقهرك إلا الصراف يوم تسوي كشف عن الرصيد يطلع 0,26 ريال ويقولك : هل تريد إجراء عملية اخرى ! يعني وش بتعطيني علك طلع البطاقه طلعت روحك",1,مايقهرك إلا الصراف يوم تسوي كشف عن الرصيد يطلع الرصيد فاضي ويقولك اذا كنت تريد عمليات اخرى,gulf
تسلم النحلة اللى جابتك ياعسل,1,بنت حلوة,nile
ماتاكلش دماغي أنا مش ناقص,1,متزعجنيش أنا مشغول,nile
العرب ظاهرة صوتية غير موزونة وغير مقفاة.,1,اتفقا العرب ان لا يتفقوا,msa
كنت حاسس نفسي بتفرج علي الجونه وحرس الحدود اقسم بالله,1,مباراة مصر وانجولا اداء الفريقين سئ جدا,nile
عارف لما تكون لوحدك بالليل وتحس أن فى خيال وراك وتلف ومتلاقيش حاجه دى بختك اللى ملازمك فى كل حته,1,يعنى مهما تروح اى مكان بردو لا مفر مش هتعرف تهرب من خيباتك,nile
فى ناس لو الأرض انشقت وبلعتهم  الأرض هيجيلها تسمم,1,فى ناس شريرة جدا حتى لما يموتوا ,nile
دق الطاسه تجيك ألف رقاصة,1,الفضايح بتلم الناس عشان تعرف الخبر,levant
ما يبقى في الواد غير حجارو,1,ما ادوم غير الصح,magreb
الحمدلله ايفون 8 كدا سعره هينزل ابقي اجيبه بقي,1,الأيفون غالى ومش هعرف أجيبه غير لما موديله يقدم,nile
سيبك منه يا عم ده يومه بسنة,1,هو بطئ ومش هيخلص اللى وراه بسرعة,nile
ايه الجو النار ده أمال هنعمل ايه في يوليو وأغسطس,1,الجو حار جدا فى مايو,nile
الجهاز هون كثير ممتاز و ما بعلق ابدا، صرلي ساعة بستنى,1,الجهاز كثير بطيء و بعلق طول الوقت,levant
فري فاير فاكرة نفسها احسن من ببجي,1,فري فايرلعبة وحشة,nile
نافخلي نفسه وعاملي فيها جاكي شان,1,فاكر نفسه قوي,nile
مؤكد العربية ديه حتنطلق للخلف بتوجيهاتكم,1,لن تستطيعوا تصنيع السيارة لانكم فاشلون جدا,nile
الليمون اللى هتعسره ع نفسك بكام,1,انت متسحمل الكلام اللى بيتقال دا ازاى,nile
متعمليش فيها محمد صبحي يا عم انت,1,متعملش نفسك محترم,nile
هو أنت كدة عايش؟ يا بني دا أنت ميت بالحياة,1,أنت حياتك صعبة ومش طبيعية ,nile
الحكم مدي 3 سنين وقت بدل ضايع,1,الحكم عطى وقت بدل ضايع كبير اوي,nile
وهناك من يمشي بثلاث فردات من الأحذية اثنتان في رجليه، وواحدة في رأسه,1,فيه ناس مبتفهمش,msa
من كتر بطولات الزمالك مش لاقى مكان فى النادى يشيلهم فيه,1,قلة بطولات نادى الزمالك مقارنة بنادى الاهلى,nile
ملقوش فى الورد عيب قالوا ده احمر الخدين,1,نقد كل شئ حتى لو حلو ولازم نطلع فيه عيوب,nile
أكيد نفخت عند عجلاتي .. أصل ده مش شغل دكاترة تجميل,1,قلة جمال نفخ الشفايف,nile
استمرارية القهوة لا تعنى حتمية الفوقان,1,ليس معنى أنى أشرب  القهوة على دائما  أنى سأكون منتبه,nile
"لإَ تنخدُع في منظر إَلنإَسُ يإَخۉۉڪْ شف إَلبحَ‘ـِـِر .. شڪْلـہۧ حَلۉ بسُ .........  مإَلح .!""",1,متتخدعش بالمظاهر,msa
اكيد الشيخ اللي قال الفتوى دي مراته قارصه عليه حبتين,1,الفتوي جاءت لأسباب شخصية وليس لأسباب شرعية,nile
اشتري دماغك وفكك يا ريس,1,متهتمش الموضوع مش مستاهل تشغل بالك,nile
زى الديب طبعه غريب ان شفته هرب وان ماشفته وثب,1,هو مالوش امان و غدار,msa
أصوم أصوم وافطر على بصلة,1,اى اصبر ولا انول شئ,nile
حاضر ماشي هتجوز بكرة خطوبة وبعد بكرة هتجوز,1,حاض هتجوز بسرعة,nile
ماشالله حسام البدري اللعيبه اللي من دهب معاه تراب,1,حسام البدري مدرب فاشل,nile
يلي حظها قوي بتجيب البنت قبل الصبي.,1,يقال لمن حظها سئ انها تولد البنت قبل الصبى,nile
قبل ما تتكلم على عيوب الناس ابقى خدلك لفه على نفسك الاول,1,متتكلمش عن عيوب الناس وأنت مليان عيوب,nile
الاكل فى الشبعان خساره,1,لاتعطى من لا يحتاج,msa
دى فاكره نفسها الام تريزا,1,يعنى فاكره نفسها لتساعد الناس,nile
عارف سعر ايفون اكس بكس فيكس شيكس كام,1,اصدارات ايفون متشابهة وليس بها جديد ويختلف الاسم كل مرة والسعر يزيد,nile
راك تفكر روحك اديسون,1,تفكر روحك ذكي,magreb
يخرب بيت خفة دم ابوك وامك اللى جابوك,1,دمك تقيل,levant
تقول تجري موراك الكلاب,1,انت تمشي بسرعة,magreb
الجواز زى الحمام الى جوه هيموت ويخرج والى بره هيموت ويدخل,1,الجواز صعب لكن الكل عاوز يجرب والكل يصدم من المسؤليه,nile
كله حمله امال مين اللي هتيضرب,1,كل الناس ساعدت فى حمله ولم يوجد أحد ضربه,nile
ظهور جزء جديد في ذراع الإنسان تصريح طبي جديد ده يعني الدراع بينبت نسقيه,1,التطور هي اسطورة مزعومة لأن الخالق هو الله وخلقه على حالته هذه ولا يتطور,nile
ده بني ادم ما يعرفش طز من يفتح الله,1,ده بني ادم ما يعرفش اي حاجة,nile
عندما تخبئ السناجب الاكل فوق الشجر للشتاء تأتي الزرافة برقبتها العالية وتسرقه وتأكله ولذلك سميت زرافه لانها تزرف اكلهم  معلومة من كيسي,1,عندما تخبئ السناجب الاكل فوق الشجر للشتاء تأتي الزرافة برقبتها العالية وتسرقه وهذه ملعومة خاطئة انا من ابتدعها,msa
الـتـثـاوب: هو طريقة الجسم   في التعبير على أن 10% من  البطاريه متبقية,1,الـتـثـاوب: هو طريقة الجسم   في التعبير عن رغبة الشخص ف النوم,msa
طلبت نملة من فيل استعمال المايو فرفض لأنه اعتقد أن النملة ستوسع المايو ههههههههههههههههههههه,1,الفيل لم يقدر أنه حجمه الكبير لا يسمح بأن يستطيع حيوان آخر يوسع المايو,msa
عام الجيفة يسمانو الكلاب,1,السراقين يترفهو وقت الشده,magreb
اللي يموت يوصيك باولاده,1,انت شخص غير مسؤول ولا يعتمد عليك,levant
انا مليش في اللف والدوران,1,انا احب الصراحة,nile
العنزة الجربانة ما بتشرب الا من راس النبع,1,المغرور يظن أنه دائما محظوظ و على حق,levant
ده ميعرفش اي بتنجان خالص,1,ده جاهل,nile
فى ناس زى النسكافيه ثلاثة فى واحد يتكلموا معاك وعنك وعليك,1,فى ناس تقعد تتكلم معاك وبعدين تروح تتكلم عليك من وراك,nile
لابق للشوحة مرجوحة ولام بريص قبقاب,1,هذا الكائن بلبقلوش اشي لانه بخزي,levant
ماطار طير وارتفع الا وكما علا وقع,1,كلما كبر مقامك وتكبرت ياتيك يوم وتنكسر,msa
سيبك منه دا في الكنافة,1,سيبك منه دا مش فاهم حاجة,nile
هذاك العبد راهو حاسب روحو رومبو,1,هذا الشخص يظن نفسه شجاع كثيرا,magreb
ممكن أتدخل فى حياتك الشخصية طبعا اومال ادخل تعالى كلهم جوا,1,محدش سايب حد فى حالة كل واحد بيتدحل فى حياة غيره,nile
الناس كانت بتخاف ع الكوبايه وبتربطها ...الحمد لله عدينا المرحله وبقوا يشيلوا الكولدير كله,1,كولدير المياة اتسرق كله,nile
يا افلاطون,1,يا مفلسف,levant
تشرق واحنا فى القصور وتغرب واحنا فى القبور,1,اى ان الدنيا ليست مضمونه,msa
محمد رمضان واخد الدكتوراة ف الضحك,1,واخد شهادة الدكتوراة وهو مكملش تعليم اصلا,nile
نفسي اعرف بنت و اقولها كام المهر تقولي يا رجاال عيب مو بينا,1,نفسي أتزوج بدون ما أدفع مهر,gulf
